Year,imdb,Title,clean_test,binary,budget,domgross,intgross,,
2013,tt1711425,21 & Over,No Talking between Women,FAIL,13000000,25682380,42195766,,
2013,tt2024544,12 Years a Slave,No Talking between Women,FAIL,20000000,53107035,158607035,,
2013,tt1272878,2 Guns,No Talking between Women,FAIL,61000000,75612460,132493015,,
2013,tt0453562,42,Conversation About Men Only,FAIL,40000000,95020213,95020213,,
2013,tt1335975,47 Ronin,Conversation About Men Only,FAIL,225000000,38362475,145803842,,
2013,tt1606378,A Good Day to Die Hard,No Talking between Women,FAIL,92000000,67349198,304249198,,
2013,tt1815862,After Earth,No Talking between Women,FAIL,130000000,60522097,244373198,,
2013,tt1535109,Captain Phillips,No Talking between Women,FAIL,55000000,107136417,218743570,,
2013,tt1985966,Cloudy with a Chance of Meatballs 2,Less than Two Women,FAIL,78000000,119640264,271725448,,
2013,tt2229499,Don Jon,Dubious,FAIL,5500000,24477704,26377704,,
2013,tt1731141,Ender Game,Conversation About Men Only,FAIL,110000000,61737191,89737191,,
2013,tt1211956,Escape Plan,Conversation About Men Only,FAIL,70000000,25213103,103813103,,
2013,tt1321870,Gangster Squad,No Talking between Women,FAIL,60000000,46000903,104100903,,
2013,tt1454468,Gravity,Less than Two Women,FAIL,110000000,271814796,708714796,,
2013,tt2191701,Grown Ups 2,Conversation About Men Only,FAIL,80000000,133668525,247023808,,
2013,tt1798709,Her,Conversation About Men Only,FAIL,23000000,25000178,33029713,,
2013,tt2024432,Identity Thief,Conversation About Men Only,FAIL,35000000,134506920,176269721,,
2013,tt2226417,Insidious: Chapter 2,Conversation About Men Only,FAIL,5000000,83586447,161911222,,
2013,tt1300854,Iron Man 3,Dubious,FAIL,200000000,408992272,1212692272,,
2013,tt1351685,Jack the Giant Slayer,Less than Two Women,FAIL,195000000,65187603,197387603,,
2013,tt1204975,Last Vegas,No Talking between Women,FAIL,28000000,63914167,112914167,,
2013,tt1670345,Now You See Me,No Talking between Women,FAIL,75000000,117723989,351723989,,
2013,tt1483013,Oblivion,Conversation About Men Only,FAIL,120000000,89107235,287537983,,
2013,tt2302755,Olympus Has Fallen,No Talking between Women,FAIL,70000000,98927592,150562164,,
2013,tt1663662,Pacific Rim,No Talking between Women,FAIL,190000000,101802906,411002906,,
2013,tt1980209,Pain &amp; Gain,No Talking between Women,FAIL,26000000,49875291,81275291,,
2013,tt1699755,Peeples,Dubious,FAIL,15000000,9177065,9177065,,
2013,tt0790736,R.I.P.D.,No Talking between Women,FAIL,130000000,33618855,79019947,,
2013,tt1411250,Riddick,No Talking between Women,FAIL,38000000,42025135,92425135,,
2013,tt2364841,Runner Runner,Less than Two Women,FAIL,30000000,19316646,62616646,,
2013,tt1979320,Rush,No Talking between Women,FAIL,38000000,26947624,43047624,,
2013,tt1408101,Star Trek Into Darkness,No Talking between Women,FAIL,190000000,228778661,466978661,,
2013,tt0481499,The Croods,Conversation About Men Only,FAIL,135000000,187168425,573068425,,
2013,tt2404311,The Family,Conversation About Men Only,FAIL,30000000,36918811,51078541,,
2013,tt1837703,The Fifth Estate,No Talking between Women,FAIL,26000000,3254172,6154172,,
2013,tt2005374,The Frozen Ground,Less than Two Women,FAIL,19200000,N/A,N/A,,
2013,tt1343092,The Great Gatsby,Dubious,FAIL,190000000,144840419,351040419,,
2013,tt1951261,The Hangover part 3,Conversation About Men Only,FAIL,103000000,112200072,362000072,,
2013,tt1170358,The Hobbit: The Desolation of Smaug,No Talking between Women,FAIL,250000000,257397516,937397516,,
2013,tt1517260,The Host,Dubious,FAIL,50000000,26623701,58188384,,
2013,tt0790628,The Incredible Burt Wonderstone,No Talking between Women,FAIL,32000000,22537881,24255957,,
2013,tt2234155,The Internship,No Talking between Women,FAIL,58000000,44672764,93672764,,
