Year,imdb,Title,clean_test,binary,budget,gross,grosscode,,,,,
2009,tt0472033,9,nowomen,FAIL,30000000,31749894,Domestic Gross (US),,,,,
2009,tt0472033,9,nowomen,FAIL,30000000,48559999,International Gross,,,,,
2008,tt0478087,21,ok,PASS,35000000,81159365,Domestic Gross (US),,,,,
2008,tt0478087,21,ok,PASS,35000000,157852532,International Gross,,,,,
2013,tt0453562,42,men,FAIL,40000000,95020213,Domestic Gross (US),,,,,
2013,tt0453562,42,men,FAIL,40000000,95020213,International Gross,,,,,
1998,tt0120577,54,notalk,FAIL,13000000,16757163,Domestic Gross (US),,,,,
1998,tt0120577,54,notalk,FAIL,13000000,16757163,International Gross,,,,,
2006,tt0416449,300,nowomen,FAIL,60000000,210614939,Domestic Gross (US),,,,,
2006,tt0416449,300,nowomen,FAIL,60000000,454161935,International Gross,,,,,
2007,tt0450385,1408,ok,PASS,22500000,71985628,Domestic Gross (US),,,,,
2007,tt0450385,1408,ok,PASS,22500000,131263370,International Gross,,,,,
2009,tt1190080,2012,notalk,FAIL,200000000,166112167,Domestic Gross (US),,,,,
2009,tt1190080,2012,notalk,FAIL,200000000,788408539,International Gross,,,,,
2004,tt0212712,2046,ok,PASS,12000000,1442338,Domestic Gross (US),,,,,
2004,tt0212712,2046,ok,PASS,12000000,19202856,International Gross,,,,,
2009,tt1022603,(500) Days of Summer,notalk,FAIL,7500000,32391374,Domestic Gross (US),,,,,
2009,tt1022603,(500) Days of Summer,notalk,FAIL,7500000,60803210,International Gross,,,,,
1999,tt0147800,10 Things I Hate About You,ok,PASS,13000000,38177966,Domestic Gross (US),,,,,
1999,tt0147800,10 Things I Hate About You,ok,PASS,13000000,60414025,International Gross,,,,,
2013,tt2024544,12 Years a Slave,notalk,FAIL,20000000,53107035,Domestic Gross (US),,,,,
2013,tt2024544,12 Years a Slave,notalk,FAIL,20000000,158607035,International Gross,,,,,
2010,tt1542344,127 Hours,dubious,FAIL,18000000,18335230,Domestic Gross (US),,,,,
2010,tt1542344,127 Hours,dubious,FAIL,18000000,60735230,International Gross,,,,,
2004,tt0337563,13 Going on 30,ok,PASS,30000000,57139723,Domestic Gross (US),,,,,
2004,tt0337563,13 Going on 30,ok,PASS,30000000,96439723,International Gross,,,,,b
2009,tt0974661,17 Again,ok,PASS,40000000,64167069,Domestic Gross (US),,,,,
2009,tt0974661,17 Again,ok,PASS,40000000,139474906,International Gross,,,,,
